, term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,
n,ऐ,,,ऐ एक कनानी शहर था जो बुतपरस्त देवताओं की पूजा करने वाले लोगों से भरा हुआ था । परमेश्वर ने यहोशू को एक योजना बताई जिससे इस्राएली सेना को ऐ पर कब्ज़ा करने और परमेश्वर के बलिदान के रूप में उसे नष्ट करने में मदद मिली ।,,
n,अम्मोन,"अम्मोनी, अम्मोनियों, अम्मोन वंशियों ",,अम्मोन अब्राहम के भतीजे लूत का बेटा था। अम्मोन का जन्म तब हुआ जब लूत की बेटी ने उसे शराब पिलाई और उसके साथ सोयी। अम्मोन के वंशज अम्मोनी बन गये जो कभी-कभी इस्राएल के शत्रु थे। वे मूर्तिपूजा करते थे।,,
n,अम्नोन,,,"अम्नोन राजा दाऊद का पहला पुत्र था। अम्नोन ने दाऊद की बेटी तामार के साथ बलात्कार किया, उसके बाद उसके भाई अबशालोम ने अम्नोन को मार डाला। (अम्नोन नाम का अर्थ है वफादार।)",,
n,हनन्याह ,,,"नए नियम में तीन व्यक्तियों के नाम हनन्याह थे: (1) यरूशलेम में एक मसीही  जो ईश्वर से झूठ बोलने के कारण मर गया; (2) दमिश्क में एक मसीही जिसने शाऊल को बपतिस्मा दिया; (3) और यरूशलेम में एक महायाजक जिसने यीशु के प्रेरितों का विरोध किया था। (हनन्याह  नाम का अर्थ है ""प्रभु उत्तर देते हैं "")",,
n,अन्द्रियास,,,अन्द्रियास पतरस  का भाई था  । वे दोनों यीशु के 12 प्रेरितों का हिस्सा बन गए। (अन्द्रियास नाम का अर्थ मर्दाना है ।),,
n,अपुल्लोस,,,"अपुल्लोस मिस्र के अलेक्जेंड्रिया का एक यहूदी था।वह एक अर्थपूर्ण बात बोलने वाले  व्यक्ति के रूप में जाने जाते थे । वह इब्रानी धर्मग्रंथों का अर्थ समझने में सक्षम था, इसलिए यूनानी भाषी शहरों में मसीही को पढ़ाने में सक्षम था ।",,
n,अक्विला,,,"अक्विला, प्रिस्का का पति था । वे रोम के यहूदी थे जिन्होंने ग्रीस और सीरिया में चर्च स्थापित करने में पौलुस की मदद की। (अक्विला नाम का अर्थ है ""उक़ाब""।)",प्रिस्का ,
n,अर्तक्षत्र,,, 465-424 ईसा पूर्व में अर्तक्षत्र फ़ारसी साम्राज्य का छठा राजा था । वह दारा का पोता और क्षयर्ष का पुत्र था। (अर्तक्षत्र नाम का अर्थ है वह सत्य के साथ शासन करता है।),,
n,अरतिमिस,,,"अरतिमिस,जिसे डायना भी कहा जाता है, एकयूनानी और रोमी देवी का नाम है जिसकी मूर्ति को एशिया नामक प्रांत में बहुत से लोग पूजते थे ।",डायना,
n,आसनत ,,,"आसनत नाम के दो स्त्रियां पाए जाते हैं । एक यूसुफ की मिस्री पत्नी थी, और दूसरी याकूब की बेटी दीना की बेटी थी।",,
n,अश्तोरेथ ,,,"अश्तोरेथ एक खुदी हुई मूर्ति थी जिसका उपयोग बुतपरस्त देशों में अस्टार्ट नामक देवी (महिला देवता/देवता) की पूजा करने के लिए किया जाता था। कुछ इस्राएलियों ने अश्तोरेत की मूर्तियाँ बनाकर यहोवा के विरुद्ध पाप किया, जिन्हें वे अक्सर बाल नामक देवता (पुरुष देवता) की मूर्तियों के साथ स्थापित करते थे ।",,
n,अश्शूर ,अश्शूरीय,,अश्शूर एक शक्तिशाली राष्ट्र था जिसने ईसा पूर्व 738 में उत्तरी इज़राइल पर आक्रमण किया था । अश्शूर के सैनिकों ने अपने शत्रुओं के साथ क्रूरतापूर्ण व्यवहार किया ।,,
n,,,,"अतल्याह एक दुष्ट रानी थी जिसने योआश को मारने और उसे राजा बनने से रोकने की कोशिश की थी। वह राजा ओमरी की बेटी या पोती थी। उसने यहूदा के राजा यहोराम से विवाह किया। उसके मरने के बाद, उसने उसके सभी बेटों की हत्या करने की कोशिश की।",,
n,एथेन्स,"अथीनिया,एथेनियाई",,,,
n,बाल ,,,"बाल एक दुष्ट देवता का नाम है जिसकी मूर्ति की पूजा कई राष्ट्र करते थे। कभी-कभी परमेश्वर को इस्राएलियों को दंडित करना पड़ता था, क्योंकि वे बाल की पूजा करने के लिए परमेश्वर को छोड़ देते थे।",बालजबूल,
n,बेबीलोन ,"बेबीलोनी, बेबीलोन के लोग ",,"बेबीलोन एक प्राचीन शहर का नाम है, जिसकी स्थापना प्रभु यिशु मसीह से लगभग 3000 वर्ष पहले हुई थी । बेबीलोन के राजाओं ने कई अन्य देशों पर विजय प्राप्त की । जब बेबीलोन के राजा ने इस्राएल पर कब्ज़ा कर लिया, तो उसने कई इस्राएलियों को लगभग सत्तर वर्षों तक बेबीलोन में रहने के लिए बन्दी बना कर ले गया (पतरस ने रोम को बेबीलोन कहा है,  और प्रकशितवाक्य की पुस्तक में बेबीलोन नामक एक बहुत बुरी जगह का वर्णन किया गया है।) बेबीलोन एक ऐसा शहर था जो ऐसे लोगों से भरा हुआ था जो बहुत बुरा काम करते थे और जिन्होंने परमेश्वर की अवज्ञा की और उनके खिलाफ विद्रोह किया। इसलिए, इसे कभी-कभी प्रतीकात्मक रूप से एक बुरे स्थान के संदर्भ में उपयोग किया जाता है जिसे परमेश्वर नष्ट कर देगा जैसे उसने ऐतिहासिक शहर को नष्ट कर दिया था ।",,
n,बिलाम,,,  बिलाम प्रभु यीशु मसीह से लगभग 1500 वर्ष पहले जीवित था। । बिलाम एक मूर्ति पूजा करने वाला भविष्यवक्ता था जो पैसे के लिए काम करता था । उसने परमेश्वर के लिए बोलने का  ढोंग किया। परमेश्वर ने इस्राएलियों को बिलाम को मार डालने का आदेश दिया। एक बार परमेश्वर ने बिलाम से उसके गधे के द्वारा बात की।  ,,
n,बरनबास,,,"बरनबास यरूशलेम के पहले  मसीही में से एक था। वह पौलुस  को पहले प्रेरितों से मिलवाने के लिए लाया, और बाद में वह पौलुस  को शिष्य बनाने के लिए अन्ताकिया (सीरिया) ले आया। वह और पौलुस नए विश्वासियों के नए कलीसिया शुरू करने के मिशन पर भी एक साथ गए । (बरनबास नाम का अर्थ है प्रोत्साहन का पुत्र) ।",,
n,बाराक ,,,इस्राएल में राजा होने से पहले बाराक  चौथा न्ययि  था । बाराक ने युद्ध में इस्राएलियों का नेतृत्व किया और उनके शत्रुओं को हराया ।,,
n,बतशेबा,,,"बतशेबा, राजा दाऊद की सेना के एक सैनिक उरिय्याह की खूबसूरत पत्नी थी। वह एक बार बाहर नहा रही थी जहाँ राजा दाऊद ने उसे नहाते हुए देखा था। बाद में वे एक साथ सोए । दाऊद ने ऊरिय्याह को युद्ध में मरवा डाला, फिर बतशेबा से विवाह किया। परमेश्वर ने दाऊद को उसके पापों के लिए दंडित किया और बतशेबा से उसके पहले बच्चे को मरवा दिया । दाऊद के बाद बतशेबा का पुत्र सुलैमान राजा बना। (बतशेबा नाम का अर्थ है वादे या शपथ की बेटी।)",,
n,बीलजेबुल,,,बीलजेबुल दुष्ट देवता बाल का दूसरा नाम है। कुछ लोग उसे बुरी आत्माओं पर सरदार मानते हैं।,,
n,बेलशस्सर ,,,बेलशस्सर  बेबीलोन का अंतिम राजा था। उनकी मृत्यु 539 ईसा पूर्व में हुई जब फारसियों ने बेबीलोन पर विजय प्राप्त की। (बेलशस्सर नाम का अर्थ है बेल राजा की रक्षा करता है।),,
n,बिन्यामीन ,,,"बिन्यामीन  प्रभु यीशु मसीह से लगभग 2000 वर्ष पहले रहते थे । बिन्यामीन याकूब के बारह पुत्रों में सबसे छोटा था । इस प्रकार, बिन्यामीन इस्राएल के बारह गोत्रों में से एक का पूर्वज था।",,
n,बेथेल ,,,"याकूब की मुलाकात परमेश्वर से लूज नामक शहर के पास हुई, इसलिए उसने शहर का नाम बेथेल रख दिया, जिसका अर्थ है परमेश्वर का घर या मंदिर ।",,
n,बेथलहम,,,"अनेक नगरों का नाम बेथलहम रखा गया। यरूशलेम के पास वाले को दाऊद का शहर भी कहा जाता था । मीका 5:2 ने भविष्यवाणी की थी कि बेथलेहम से एक महान अगुवा  आएगा, और यीशु का जन्म बेथलेहम में हुआ था। (बेथलेहम नाम का अर्थ है रोटी का घर ।)",,
n,बोअज़,,,"बोअज़ एक धनी इस्राएली किसान था जिसने गरीबों को अपने फसल काटने वालों द्वारा छोड़े गए अनाज को बीनने की अनुमति दी थी। वह नाओमी के मृत पति का रिश्तेदार था, इसलिए उसने नाओमी की विधवा बहू रूथ से शादी की। इस प्रकार, वह राजा दाऊद और यीशु मसीह का पूर्वज बन गया।",,
n,कैसर ,,,कैसर वह उपाधि थी जो रोमी लोग अपने राजाओं को देते थे। प्रत्येक कैसर रोम द्वारा जीते गए सभी देशों का सम्राट या उच्च-राजा भी था। रोम की जनता के प्रत्येक राजा को कैसर  कहा जाता था।,,
n,कैसरिया,,,"कैसरिया नामक दो नगर थे । एक का निर्माण रोमि  सम्राट कैसर के सम्मान में, यरूशलेम के उत्तर में समुद्री तट पर रोमि द्वारा किया गया था। (कैसरिया नाम का अर्थ है ""राजा का शहर "")",,
n,कैन,,,"प्रभु यीशु मसिह से लगभग 4000 वर्ष पहले, आदम और हव्वा के पहले दो पुत्रों के नाम कैन और हाबिल थे । कैन ने परमेश्वर का आदर नहीं किया, परन्तु हाबिल ने किया। जब परमेश्वर ने कैन को फटकारा, तो कैन क्रोधित हो गया और उसने अपने भाई हाबिल को मार डाला ।","हाबिल, आदम, हव्वा",
n,कालेब ,,,कालेब उन बारह जासूसों में से एक था जिन्हें मूसा ने कनान का निरीक्षण करने के लिए भेजा था । वह और यहोशू ही दो जासूस थे जो मानते थे कि इस्राएली कनानियों पर विजय प्राप्त कर सकते हैं । परमेश्वर ने इन दोनों लोगों को उनके विश्वास और युद्ध में उनकी बहादुरी के लिए पुरस्कृत किया।,,
n,कनान ,"कनानी, कनानवासी",,"कनान उस भूमि का नाम था जिसे परमेश्वर ने इस्राएल के लोगों को उनकी मातृभूमि बनाने के लिए देने का वादा किया था। कनान का अधिकांश भाग इस्राएल की भूमि बन गया। आज, कनान के एक हिस्से को फिलिस्तीन कहा जाता है।",,
n,कैसर ,"कैसर,राजा, फिरौन, सम्राट,",,कैसर एक नाम या उपाधि थी जो रोम के लोग अपने सर्वोच्च नेताओं या राजाओं/सम्राटों को देते थे। मिस्र के लोग अपने उच्च नेताओं को फिरौन कहते थे।,,
n,,कैसरिया,,"कैसरिया एक कस्बा या शहर था। रोमी और अन्य लोगों ने कुछ शहरों का नाम कैसरिया रखा, जो रोमी  सम्राट/राजा कैसर के सम्मान में रखा गया था।",,
n,कुरिन्थ,कुरिन्थियों,,"कुरिन्थ यूनान नामक देश का एक बड़ा बाज़ार शहर था। यह बहुत ही मूर्तिपूजक शहर था, जहाँ बहुत से लोग मूर्तिपूजक थे। पौलुस ने कुरिन्थ में नए मसीही कलीसिय शुरू किए और कुरिन्थियों को पत्र लिखे (प्रेरितों के काम 18)।",,
n,कुरनेलियुस ,,,"कुरनेलियुस एक रोमि सेना के अधिकारी था जिसने प्रभु से प्रार्थना की थी। प्रभु ने उसके पास एक स्वर्गदूत भेजा और उसे पतरस को बुलाने के लिए कहा । जब कुरनेलियुस के घरवालों और दोस्तों ने पतरस को यीशु के बारे में बताते सुना, तो वे पहले गैर-यहूदी मसीही या अन्यजति मसीही बन गए। (कुरनेलियुस नाम का अर्थ सींग है।)",,
n,दमिश्क,,,इजराइल के उत्तर-पूर्व में स्थित दमिश्क दुनिया के सबसे पुराने शहरों में से एक है । यह सीरिया राष्ट्र की राजधानी बना हुआ है । दमिश्क के पास शाऊल नामक व्यक्ति को प्रभु यीशु मसिह दिखाई दिए । शाऊल एक प्रेरित बन गया जिसका नाम बाद मे पौलुस पड़ा था ।,,
n,दानिय्येल,,," दानिय्येल एक युवा व्यक्ति था जब बेबीलोन के लोगों ने यरूशलेम को नष्ट कर यहूदियों को बेबीलोन में बंदी बना लिया था । बंदी दानिय्येल ने जीवन भर परमेश्वर की आज्ञा का पालन किया, एक ईमानदार अधिकारी बना रहा, भले ही वह एक बुतपरस्त राजा के महल में रहता और काम करता था। परमेश्वर ने दानिय्येल को सपनों का अर्थ दिखाया, और उसे राष्ट्रों का भविष्य बताया। (दानिय्येल नाम का अर्थ है ""परमेश्वर मेरा न्यायाधीश है""।)",,
n,,,,"डेरियस फ़ारसी साम्राज्य का चौथा राजा था, 550-486 ई.पू. उसने दानिय्येल के जीवनकाल में 539 ई.पू. में बेबीलोन पर विजय प्राप्त की। (डेरियस नाम का अर्थ है वह अच्छाई रखता है।)",,
n,,,Dawuda (W from Arabic),"इस्राएल का दूसरा राजा दाऊद, यीशु से लगभग 800 साल पहले जीया था। वह एक चरवाहा लड़का था जिसने एक वीर योद्धा के रूप में ख्याति प्राप्त की। उसने संगीत और गीत भी बनाए, जिनमें से कुछ बाइबल में भजन बन गए हैं। दाऊद अपने पूरे जीवन में परमेश्वर के प्रति वफादार रहा, और परमेश्वर ने उससे वादा किया कि उसके बेटे हमेशा इस्राएल पर शासन करेंगे। यीशु राजा दाऊद का वंशज (पुत्र) है। (दाऊद नाम का अर्थ है प्रिय।)",,
n,दबोरा ,,,"दबोरा न्यायियों के शासनकाल के दौरान एक इस्राएली भविष्यवक्ता (महिला भविष्यवक्ता) थी। उसके माध्यम से, प्रभु ने बाराक को कनानी राजा याबीन की सेना के विरुद्ध युद्ध करने का आदेश दिया। (दबोरा नाम का अर्थ ""मधुमक्खी"" है।)",,
n,दबोरा ,,,"दबोरा नाम की दो स्त्रियाँ थीं: (1) रिबेका की दाई, जो बेतेल के पास मर गई, और (2) इस्राएलियों की एक नेता जिसने उन्हें उनके शत्रुओं पर विजय दिलाई। (दबोरा नाम का अर्थ ""प्रतिज्ञा।"" है )",,
n,दलीला ,,,"दलीला वह पलिश्ती स्त्री थी जिससे शिमशोन ने विवाह किया था। (दलीला नाम का अर्थ ""मनोहर"" है )",,
n,देमेत्रियुस,,,देमेत्रियुस नाम के दो व्यक्ति थे। (1) एक इफिसुस शहर का एक सोनार था जो अरतिमिस नामक एक देवी की पूजा करता था। उसने शहर की अदालत में पौलुस के खिलाफ मुकदमा दायर किया। था (2) दूसरा एक मसीही था जिसकी अच्छी प्रतिष्ठा थी (3 यूहन्ना 1)।,,
n,,,,डायना एक यूनानी देवी (मूर्ति) का नाम है जिसकी पूजा इफिसुस शहर के लोग करते हैं।,,
n,अदन,,,"अदन एक सुन्दर स्थान का नाम था, एक बहुत बड़ा सुन्दर बगीचा,जहाँ आदम और हव्वा परमेश्वर के विरुद्ध पाप करने से पहले परमेश्वर अन्य आत्माओं और प्रथम मनुष्यों से मिलते थे,",,
n,एदोम,,,"एदोम वह देश था जहाँ एसाव के वंशज इस्राएल से पूर्व की ओर बस गए थे। एदोमी लोग झूठे देवताओं की पूजा करते थे और इस्राएल के शत्रु बन गए थे। एदोम का अर्थ""लाल"" है ।",,
n,मिस्र,मिस्रवासी,Misra (W from Arabic),"मिस्र, इज़राइल के पश्चिम में स्थित एक देश है। इज़राइली चार सौ वर्षों तक मिस्र में रहे जहाँ वे गुलाम बन गए। मिस्र ने सैकड़ों वर्षों तक इज़राइल पर शासन किया।",,
n,एलीमेलेक,,,"एलीमेलेक, नाओमी का पति था। वह एक इस्राएली था जो मोआब देश में आकर बस गया था और वहीं उसकी मृत्यु हो गई। (एलीमेलेक नाम का अर्थ है ""मेरा परमेश्वर राजा है।"")",,
n,एली,,,"इस्राएल में मन्दिर बनने से पहले, एली शीलो में यहोवा का याजक था। उसने भविष्यवक्ता शमूएल का पालन-पोषण बचपन से लेकर वयस्क होने तक किया, हालाँकि उसके अपने बेटे बेईमान थे। (एली नाम का अर्थ है ""मेरा परमेश्वर।"")",,
n,एलिय्याह ,,Ilyass (W),"एलिय्याह यीशु मसीह से लगभग 800 वर्ष पहले रहते थे। वह परमेश्वर का एक भविष्यद्वक्ता था, जिसने साहसपूर्वक एक दुष्ट राजा और इस्राएल में मूर्तिपूजा करने वाले सभी लोगों को फटकारा। (मलाकी की पुस्तक कहती है कि एलिय्याह को वापस लौटना होगा ताकि वह इस्राएल को आने वाले मसीहा के स्वागत के लिए तैयार कर सके।) (यूहन्ना बपतिस्मा देने वाला कई मायनों में एलिय्याह जैसा था।) (एलिय्याह नाम का अर्थ है ""प्रभु ही परमेश्वर है।"")",,
n,एलीशा,,Alyaasa (W),एलीशा यीशु से लगभग 800 वर्ष पहले रहते थे। वह भविष्यवक्ता एलिय्याह द्वारा नियुक्त परमेश्वर का एक भविष्यवक्ता था। एलीशा ने एलिय्याह से भी अधिक चमत्कार किए थे।,,
n,एल्काना,,,"एल्काना नाम के कई पुरुष थे। एल्काना, हन्ना का पति और भविष्यवक्ता शमूएल का पिता था। (एलकाना नाम का अर्थ है ""ईश्वर द्वारा रचित"")",,
n,इफिसुस,इफिसियों ,,"इफिसुस, एशिया माइनर में समुद्र के किनारे एक बड़ा शहर था जहाँ पौलुस ने नई कलीसियाएँ शुरू कीं या स्थापित कीं। बाद में उसने इफिसियों को एक पत्र लिखा। प्रकाशितवाक्य में यीशु ने भी यूहन्ना के ज़रिए इफिसियों को एक पत्र लिखा था।",,
n,एप्रैम,,,"एप्रैम यूसुफ के दो पुत्रों में छोटा पुत्र था। एप्रैम इस्राएल के एक गोत्र का पूर्वज बना। (एप्रैम नाम का अर्थ है ""फलदायी"")",,
n,एपिकुरियन,एपिकुरियन,,"एपिकुरियन लोग दार्शनिक एपिकुरस की शिक्षाओं का पालन करते थे, जो येशु मसीह से लगभग 300 साल पहले थे। उन्होंने सिखाया कि लोगों को दर्द और भय से बचते हुए जीवन में खुशी की तलाश करनी चाहिए।",,
n,एसाव,,Esawu (W),"एसाव, यीशु मसीह से लगभग 1900 वर्ष पहले था। अब्राहम के पुत्र इसहाक के जुड़वाँ पुत्र थे जिनका नाम एसाव और याकूब था। एसाव, जो जेठा पुत्र था,उसने मूर्खतापूर्वक अपना पहिलौठे का अधिकार अपने भाई याकूब को बेच दिया। (याकूब के पुत्र इस्राएली और एसाव के पुत्र एदोमी कहलाये।)",,
n,एस्तेर ,,,"एस्तेर एक यहूदी अनाथ थी जिसका पालन-पोषण उसके चचेरे भाई मोर्दकै ने किया था। फ़ारसी राजा ज़ेरेसेस द्वारा एस्तेर को अपनी नई रानी बनाए जाने के बाद, उसने कई यहूदियों को मृत्यु से बचाया। (एस्तेर नाम का अर्थ है ""तारा""। उसके यहूदी नाम हदस्सा है जिसका अर्थ है ""मर्टल वुड"" अर्थात सुगंधित और सुंदर लकड़ी )",,
n,हव्वा,,Awa (W from Arabic),"हव्वा,येशु मसीह से लगभग 4000 साल पहले थी। हव्वा आदम की पत्नी थी और सभी मनुष्यों की पहली माँ थी। जब शैतान ने आदम और हव्वा को बहकाया, तो उन्होंने परमेश्वर की आज्ञा का उल्लंघन किया। तब से, सभी मनुष्य भी पाप करते आ रहे हैं और उन्हें अवश्य ही मरना होगा।",,
n,फेलिक्स,,,"फेलिक्स, सन् 52 से 60 के बीच यहूदिया का रोमी राज्यपाल था। एक बेईमान आदमी होने के कारण, उसने पौलुस को कैसरिया की जेल में दो साल तक रखा। एक बार जब उसने पौलुस को परमेश्वर के न्याय के बारे में समझाते हुए सुना तो वह घबरा गया।",,
n,फेसतुस ,,,सन्  62 में फेसतुस ने फेलिक्स की जगह यहूदिया का रोमी राज्यपाल बना। उसने पौलुस को कैसरिया के कारावास में तब तक छोड़ा जब तक उसने पौलुस को रोम के सम्राट कैसर के पास न्याय के लिए नहीं भेज दिया।,,
n,गदरेन,,,"गदरेन, गलील झील के पास का एक क्षेत्र था जहाँ बहुत से गैर-यहूदी लोग रहते थे जो सूअर का मांस खाते थे।",,
n,,,,"गलील, इज़राइल के उत्तरी भाग में एक क्षेत्र था जो ""गलील की झील"" नामक एक बहुत बड़ी झील के आसपास बसा था। इस झील में बहुत सारी मछलियाँ पाई जाती थीं।",,
n,,,,"गेहजी, भविष्यवक्ता एलीशा का एक सेवक था। एक बार उसने एक सीरियाई अधिकारी से, जिसे एलीशा ने कोढ़ से ठीक किया था, उपहार माँगकर पाप किया।",,
n,गिबा,गिबोनियों,,"जब यहोशू और इस्राएली कनान पर कब्ज़ा कर रहे थे, तब गिबा कनान का एक मूर्तिपूजक शहर था। (गिबोनियों ने यहोशू को धोखा देकर उनके साथ शांति समझौता कर लिया था।)",,
n,गिबा,गिबोनियों,,"गिबोनियों, गिबा शहर के कनानी लोग थे, जिन्होंने यहोशू और उसकी सेना के साथ शांति स्थापित करने के लिए, कनान के बाहर से होने का दिखावा किया था। क्योंकि इस्राएली परमेश्वर से पूछना भूल गए थे, वे गिबोनियों के द्वारा धोखा खा गए और उनके साथ शांति स्थापित कर ली, यद्यपि वे वास्तव में कनानी थे।",,
n,गिदोन,,,"गिदोन येशु मसीह से लगभग 1200 वर्ष पहले था। वह एक किसान था जो एक बड़ी दुश्मन सेना के खिलाफ एक छोटी सेना का नेतृत्व करने के बाद, इस्राएलियों का नेता या न्यायाधीश बन गया। (परमेश्वर ने उस बड़ी सेना को इतना डरा दिया कि वह भाग गई।)",,
n,अमोरा ,,,"अमोरा, सदोम के पास एक शहर था जहाँ अब्राहम के भतीजे लूत ने रहने का फैसला किया था। वहाँ की आबादी इतनी दुष्ट थी कि परमेश्वर ने उसे आकाश से गिरी आग से नष्ट कर दिया (येशु मसीह के जन्म से लगभग 2000 साल पहले)।",,
n,ग्रीस,,,"ग्रीस यूरोप का एक देश है। एथेंस और कुरीनथुस शहर ग्रीस में ही हैं। येशु मसीह से लगभग 350 साल पहले, ग्रीस ने इज़राइल और कई अन्य देशों पर विजय प्राप्त की थी। उनमें से ज़्यादातर देशों के लोगों ने यूनानी भाषा बोलना और पढ़ना सीखा। । नए नियम की पुस्तकें यूनानी में लिखी गई हैं। यूनानी सरकारी भाषा थी, हालाँकि यह सभी की मातृभाषा नहीं थी।",,
n,हागार,,,"येशु मसीह से लगभग 2000 साल पहले, हागार रहती थी। वह अब्राहम की पत्नी सारा के घर में एक दासी थी। जब सारा को अभी तक कोई संतान नहीं हुई थी, तब उसने अब्राहम से हागार के साथ सोने के लिए कहा, और हागार ने एक बच्चे को जन्म दिया जिसका नाम इश्माएल रखा गया। (लेकिन इश्माएल वह संतान नहीं था जिसे परमेश्वर ने सारा से अब्राहम को देने का वादा किया था। बारह साल बाद, सारा ने अब्राहम से एक पुत्र को जन्म दिया जिसका नाम इसहाक रखा गया। इसहाक वही पुत्र है जिसका वादा परमेश्वर ने किया था।)",,
